order_id,supplier,region,product_category,carrier,order_date,promised_date,actual_delivery_date,units,defect_flag
ORD-103470,SUP-004,Northeast,Apparel,CarrierA,2024/12/18,2024-12-25,2024-12-27,104,0
ORD-102038,SUP-011,West,Home Goods,CarrierD,2024/11/27,2024-11-29,2024-11-28,13,1
ORD-100997,SUP-002,West,Home Goods,CarrierC,2024/05/07,2024-05-12,2024-05-12,86,0
ORD-102241,SUP-003,Northeast,Industrial Parts,CarrierC,01/21/2024,2024-01-28,2024-01-28,148,0
ORD-100161,SUP-020,Southwest,Electronics,CarrierC,25-Sep-2024,2024-10-05,2024-10-05,44,0
ORD-103399,SUP-010,West,Office Supplies,CarrierB,2024/02/18,2024-02-28,2024-02-28,442,0
ORD-105334,SUP-011,West,Home Goods,CarrierB,02/27/2024,2024-03-01,2024-03-01,16,0
ORD-104925,SUP-015,West,Office Supplies,CarrierC,11/10/2024,2024-11-17,2024-11-17,195,0
ORD-105552,SUP-006,Southwest,,CarrierA,2024/07/09,2024-07-11,2024-07-18,399,0
ORD-104288,SUP-011,West,Office Supplies,CarrierD,23-Jul-2024,2024-07-26,2024-07-26,104,0
ORD-103309,SUP-020,Southwest,Electronics,CarrierD,07/30/2024,2024-08-01,2024-08-01,173,0
ORD-102573,SUP-015,Midwest,Apparel,CarrierD,2024/10/21,2024-10-26,2024-11-08,463,0
ORD-104737,SUP-007,Southwest,Perishables,CarrierA,04/15/2024,2024-04-18,2024-04-18,305,0
ORD-103492,SUP-009,Midwest,Industrial Parts,CarrierB,01/06/2024,2024-01-16,2024-01-28,272,0
ORD-102617,SUP-009,Midwest,Office Supplies,CarrierD,2024/09/08,2024-09-13,2024-09-12,97,0
ORD-100354,SUP-009,West,Electronics,CarrierA,03/18/2024,2024-03-25,2024-03-25,49,0
ORD-105727,SUP-016,Southeast,Office Supplies,CarrierB,2024/01/26,2024-01-31,2024-02-01,375,0
ORD-103077,SUP-009,Southwest,Office Supplies,CarrierC,2024-01-13,2024-01-15,2024-01-19,477,0
ORD-104615,SUP-012,Southeast,Electronics,CarrierA,2024-04-01,2024-04-04,2024-04-04,429,0
ORD-103144,SUP-001,Northeast,Apparel,CarrierD,2024-04-21,2024-04-24,2024-04-26,413,0
ORD-102624,SUP-003,Southwest,Electronics,CarrierD,11/08/2024,2024-11-18,2024-11-17,58,0
ORD-101947,SUP-014,Northeast,Electronics,CarrierA,2024-10-30,2024-11-09,2024-11-18,178,0
ORD-101235,SUP-017,Southwest,Electronics,CarrierB,30-Jun-2024,2024-07-02,2024-07-14,198,0
ORD-105561,SUP-017,Northeast,Perishables,CarrierA,2024/11/25,2024-11-27,2024-12-01,247,0
ORD-104669,SUP-007,Southwest,Office Supplies,CarrierA,2024-06-27,2024-07-07,2024-07-07,149,0
